,index,0
1037,NDLS,130
1038,NDSN,130
1039,NEO,130
1040,NEOG,130
1041,NEPT,130
1042,NERV,130
1043,NEWT,130
1044,NFBK,130
1045,NFE,26
1046,NFLX,130
1047,NGHC,130
1048,NGM,130
1049,NH,52
1050,NICE,130
1051,NIU,104
1052,NK,130
1053,NKTR,130
1054,NLOK,130
1055,NLTX,130
1056,NMIH,130
1057,NMRK,130
1058,NNBR,130
1059,NNDM,52
1060,NODK,26
1061,NOVN,130
1062,NOVT,130
1063,NSIT,130
1064,NSTG,130
1065,NTAP,130
1066,NTCT,130
1067,NTEC,130
1068,NTES,130
1069,NTGN,104
1070,NTGR,130
1071,NTLA,130
1072,NTNX,130
1073,NTRA,130
1074,NTRS,130
1075,NTUS,130
1076,NUAN,130
1077,NURO,78
1078,NUVA,130
1079,NVAX,130
1080,NVCR,130
1081,NVDA,130
1082,NVEE,130
1083,NVIV,52
1084,NWBI,130
1085,NWL,130
1086,NWPX,78
1087,NWS,130
1088,NWSA,130
1089,NXGN,104
1090,NXPI,130
1091,NXST,130
1092,NXTC,52
1093,NYMT,130
1094,NYMTM,104
1095,NYMTN,104
1096,OAS,130
1097,OBSV,104
1098,OCFC,130
1099,OCGN,130
1100,OCSL,130
1101,OCUL,130
1102,ODFL,130
1103,ODP,130
1104,OESX,130
1105,OFIX,130
1106,OGI,130
1107,OKTA,130
1108,OLED,130
1109,OLLI,130
1110,OMAB,130
1111,OMCL,130
1112,OMER,130
1113,OMP,104
1114,ON,130
1115,ONB,130
1116,ONCY,104
1117,ONEM,130
1118,ONTX,130
1119,ONVO,130
1120,OPB,104
1121,OPCH,130
1122,OPGN,130
1123,OPI,130
1124,OPK,130
1125,OPRA,130
1126,OPTN,130
1127,OPTT,104
1128,ORBC,130
1129,ORLY,130
1130,ORTX,104
1131,OSBC,104
1132,OSIS,104
1133,OSMT,130
1134,OSPN,130
1135,OSTK,130
1136,OSUR,130
1137,OSW,130
1138,OTEX,130
1139,OVID,130
1140,OXFD,130
1141,OXLC,130
1142,OXSQ,130
1143,OZK,130
1144,PAAS,130
1145,PACB,130
1146,PACW,130
1147,PAE,104
1148,PAHC,104
1149,PASG,26
1150,PATK,130
1151,PAVM,130
1152,PAYS,130
1153,PAYX,130
1154,PBCT,130
1155,PBPB,130
1156,PBYI,130
1157,PCAR,130
1158,PCH,130
1159,PCRX,130
1160,PCSB,78
1161,PCTI,104
1162,PCTY,130
1163,PCYO,104
1164,PDBC,130
1165,PDCE,130
1166,PDCO,130
1167,PDD,130
1168,PDLI,130
1169,PDP,130
1170,PDSB,78
1171,PEBO,104
1172,PEGA,130
1173,PENN,130
1174,PEP,130
1175,PERI,104
1176,PETQ,130
1177,PETS,130
1178,PEY,130
1179,PFBC,52
1180,PFF,130
1181,PFG,130
1182,PFLT,130
1183,PFPT,130
1184,PGC,104
1185,PGEN,130
1186,PGNX,130
1187,PGNY,130
1188,PHAS,104
1189,PHIO,52
1190,PHO,52
1191,PHUN,130
1192,PI,130
1193,PID,104
1194,PINC,130
1195,PIRS,130
1196,PKOH,78
1197,PKW,104
1198,PLAB,130
1199,PLAY,130
1200,PLCE,130
1201,PLMR,130
1202,PLUG,130
1203,PLW,52
1204,PLXS,104
1205,PLYA,130
1206,PNFP,130
1207,PNNT,130
1208,PNTG,104
1209,PODD,130
1210,POOL,130
1211,POWI,130
1212,POWL,26
1213,PPBI,130
1214,PPC,130
1215,PPD,130
1216,PRAA,130
1217,PRAH,130
1218,PRDO,130
1219,PRFT,130
1220,PRFZ,130
1221,PRGS,130
1222,PRIM,130
1223,PRNB,130
1224,PRPL,130
1225,PRQR,130
1226,PRTA,130
1227,PRTK,130
1228,PRVB,130
1229,PRVL,52
1230,PS,130
1231,PSEC,130
1232,PSMT,78
1233,PSNL,130
1234,PSTI,104
1235,PSTV,52
1236,PTC,130
1237,PTCT,130
1238,PTE,130
1239,PTEN,130
1240,PTGX,104
1241,PTI,130
1242,PTLA,130
1243,PTON,130
1244,PULM,130
1245,PVAC,130
1246,PWFL,52
1247,PXLW,130
1248,PYPL,130
1249,PZZA,130
1250,QCOM,130
1251,QDEL,130
1252,QFIN,130
1253,QIWI,130
1254,QLYS,130
1255,QMCO,130
1256,QNST,130
1257,QQEW,78
1258,QQQ,130
1259,QQQX,130
1260,QRTEA,130
1261,QRVO,130
1262,QTEC,130
1263,QTNT,130
1264,QTRX,130
1265,QTT,130
1266,QUMU,104
1267,QURE,130
1268,QYLD,130
1269,RADA,130
1270,RARE,130
1271,RAVN,104
1272,RBB,26
1273,RBBN,130
1274,RCEL,130
1275,RCII,130
1276,RCKT,130
1277,RCKY,26
1278,RCM,130
1279,RDFN,130
1280,RDHL,130
1281,RDNT,130
1282,RDUS,130
1283,RDVY,130
1284,RDWR,130
1285,REAL,130
1286,REG,130
1287,REGI,130
1288,REGN,130
1289,REPH,130
1290,RESN,130
1291,RETA,130
1292,REYN,130
1293,RGEN,130
1294,RGLD,130
1295,RGNX,130
1296,RICK,130
1297,RIGL,130
1298,RILY,130
1299,RING,130
1300,RIOT,130
1301,RKDA,26
1302,RMBL,130
1303,RMBS,130
1304,RMR,104
1305,RMTI,130
1306,RNST,130
1307,ROAD,130
1308,ROCK,130
1309,ROIC,130
1310,ROKU,130
1311,ROLL,130
1312,ROSE,130
1313,ROST,130
1314,RP,130
1315,RPAY,130
1316,RPD,130
1317,RRGB,130
1318,RRR,130
1319,RTIX,130
1320,RTLR,130
1321,RTRX,130
1322,RTTR,130
1323,RUBY,130
1324,RUN,130
1325,RUSHA,130
1326,RUTH,130
1327,RVMD,104
1328,RVNC,130
1329,RYAAY,130
1330,RYTM,130
1331,SABR,130
1332,SAFM,130
1333,SAFT,26
1334,SAGE,130
1335,SAIA,130
1336,SALM,104
1337,SANM,130
1338,SASR,130
1339,SATS,130
1340,SAVA,130
1341,SBAC,130
1342,SBBP,104
1343,SBCF,130
1344,SBGI,130
1345,SBLK,130
1346,SBNY,130
1347,SBRA,130
1348,SBSI,104
1349,SBUX,130
1350,SCHL,130
1351,SCHN,130
1352,SCON,104
1353,SCOR,130
1354,SCPL,104
1355,SCSC,130
1356,SCVL,130
1357,SCWX,78
1358,SCYX,130
1359,SCZ,130
1360,SDC,130
1361,SDGR,130
1362,SEAC,130
1363,SEDG,130
1364,SEEL,130
1365,SEIC,130
1366,SELB,130
1367,SESN,130
1368,SFBS,130
1369,SFET,130
1370,SFIX,130
1371,SFM,130
1372,SFNC,130
1373,SGBX,130
1374,SGEN,130
1375,SGH,130
1376,SGLB,52
1377,SGMO,130
1378,SGMS,130
1379,SGRY,130
1380,SHEN,130
1381,SHIP,130
1382,SHOO,130
1383,SHV,130
1384,SHY,130
1385,SIBN,130
1386,SIC,78
1387,SIEN,130
1388,SIGA,130
1389,SIGI,130
1390,SILK,130
1391,SIMO,130
1392,SINA,130
1393,SINT,130
1394,SIRI,130
1395,SIVB,130
1396,SKYW,130
1397,SKYY,130
1398,SLAB,130
1399,SLDB,130
1400,SLGN,130
1401,SLM,130
1402,SLNO,130
1403,SLP,104
1404,SLQD,130
1405,SLRC,130
1406,SLRX,26
1407,SMCI,130
1408,SMED,130
1409,SMH,130
1410,SMPL,130
1411,SMRT,52
1412,SMSI,130
1413,SMTC,130
1414,SNBR,130
1415,SNCR,130
1416,SND,130
1417,SNDL,130
1418,SNDX,104
1419,SNGX,130
1420,SNPS,130
1421,SNSS,130
1422,SNY,130
1423,SOHO,130
1424,SOHU,130
1425,SOLO,26
1426,SOLY,104
1427,SONM,104
1428,SONO,130
1429,SOXX,130
1430,SP,104
1431,SPAR,130
1432,SPCB,130
1433,SPLK,130
1434,SPNE,130
1435,SPNS,104
1436,SPOK,104
1437,SPPI,130
1438,SPRO,26
1439,SPSC,130
1440,SPTN,130
1441,SPWH,130
1442,SPWR,130
1443,SQQQ,130
1444,SRCE,78
1445,SRCL,130
1446,SRDX,78
1447,SRET,130
1448,SRNE,130
1449,SRPT,130
1450,SRRK,78
1451,SSB,130
1452,SSNC,130
1453,SSP,130
1454,SSRM,130
1455,SSSS,78
1456,SSYS,130
1457,STAA,130
1458,STAY,130
1459,STBA,130
1460,STFC,78
1461,STIM,130
1462,STKL,130
1463,STLD,130
1464,STML,130
1465,STMP,130
1466,STNE,130
1467,STOK,104
1468,STRA,130
1469,STRL,130
1470,STX,130
1471,SUNS,52
1472,SUNW,130
1473,SUPN,130
1474,SVC,130
1475,SVMK,130
1476,SWAV,130
1477,SWIR,130
1478,SWKS,130
1479,SWTX,52
1480,SXTC,130
1481,SY,130
1482,SYBT,78
1483,SYKE,130
1484,SYNA,130
1485,SYNC,26
1486,SYNH,130
1487,SYRS,130
1488,TA,78
1489,TACO,130
1490,TAST,130
1491,TBBK,130
1492,TBIO,130
1493,TBK,104
1494,TBLT,130
1495,TBPH,130
1496,TCBI,130
1497,TCBK,104
1498,TCDA,130
1499,TCF,130
1500,TCMD,130
1501,TCOM,130
1502,TCON,26
1503,TCPC,130
1504,TCRD,78
1505,TCX,78
1506,TDIV,104
1507,TEAM,130
1508,TECD,130
1509,TECH,130
1510,TEDU,52
1511,TELL,130
1512,TENB,130
1513,TER,130
1514,TERP,130
1515,TEUM,130
1516,TFSL,130
1517,TGTX,130
1518,TH,104
1519,THMO,130
1520,THRM,130
1521,TIGR,104
1522,TILE,130
1523,TITN,130
1524,TIVO,130
1525,TLND,130
1526,TLRY,130
1527,TLSA,26
1528,TLT,130
1529,TMDI,130
1530,TMUS,130
1531,TNAV,130
1532,TNDM,130
1533,TNXP,130
1534,TOCA,130
1535,TOPS,130
1536,TORC,130
1537,TOWN,130
1538,TPCO,130
1539,TPIC,130
1540,TPTX,130
1541,TQQQ,130
1542,TREE,130
1543,TRHC,130
1544,TRIB,130
1545,TRIL,130
1546,TRIP,130
1547,TRMB,130
1548,TRMK,130
1549,TRNX,130
1550,TROV,52
1551,TROW,130
1552,TRPX,130
1553,TRS,130
1554,TRST,130
1555,TRUE,130
1556,TRUP,130
1557,TRVG,130
1558,TRVI,26
1559,TRVN,130
1560,TSC,130
1561,TSCO,130
1562,TSEM,130
1563,TSG,130
1564,TSLA,130
1565,TTD,130
1566,TTEC,130
1567,TTEK,130
1568,TTGT,130
1569,TTMI,130
1570,TTNP,130
1571,TTOO,130
1572,TTWO,130
1573,TUES,130
1574,TUR,130
1575,TVIX,130
1576,TVTY,130
1577,TW,130
1578,TWIN,78
1579,TWNK,130
1580,TWOU,130
1581,TWST,130
1582,TXG,130
1583,TXMD,130
1584,TXN,130
1585,TXRH,130
1586,TYME,130
1587,TZOO,104
1588,UAL,130
1589,UBSI,130
1590,UBX,130
1591,UCBI,130
1592,UCTT,130
1593,UEIC,78
1594,UEPS,130
1595,UFPI,130
1596,UGLD,130
1597,ULTA,130
1598,UMBF,130
1599,UMPQ,130
1600,UNIT,130
1601,UPLD,130
1602,UPWK,130
1603,URBN,130
1604,URGN,130
1605,USCR,130
1606,USIG,130
1607,USLV,130
1608,UTHR,130
1609,UVSP,78
1610,UXIN,130
1611,VBIV,130
1612,VBLT,52
1613,VBTX,130
1614,VC,130
1615,VCEL,130
1616,VCIT,130
1617,VCLT,130
1618,VCSH,130
1619,VCTR,104
1620,VCYT,130
1621,VECO,130
1622,VEON,130
1623,VERB,52
1624,VERI,130
1625,VERU,130
1626,VFF,130
1627,VG,130
1628,VGIT,130
1629,VGLT,130
1630,VGSH,130
1631,VIAC,130
1632,VIACA,130
1633,VIAV,130
1634,VICR,130
1635,VIE,104
1636,VIGI,130
1637,VIIX,26
1638,VIOT,130
1639,VIR,130
1640,VIRT,130
1641,VISL,130
1642,VIVE,130
1643,VIVO,130
1644,VKTX,130
1645,VLY,130
1646,VMBS,130
1647,VNDA,130
1648,VNET,130
1649,VNOM,130
1650,VNQI,130
1651,VOD,130
1652,VONE,104
1653,VONG,130
1654,VONV,130
1655,VRA,130
1656,VRAY,130
1657,VRCA,26
1658,VREX,130
1659,VRNS,130
1660,VRNT,130
1661,VRRM,130
1662,VRSK,130
1663,VRSN,130
1664,VRTU,130
1665,VRTX,130
1666,VSAT,130
1667,VSEC,26
1668,VSTM,130
1669,VTIP,130
1670,VTIQ,130
1671,VTWO,130
1672,VUZI,130
1673,VVUS,130
1674,VWOB,130
1675,VXRT,130
1676,VXUS,130
1677,VYGR,130
1678,VYMI,130
1679,WAFD,130
1680,WASH,104
1681,WATT,130
1682,WB,130
1683,WBA,130
1684,WDAY,130
1685,WDC,130
1686,WDFC,130
1687,WEN,130
1688,WERN,130
1689,WETF,130
1690,WHF,130
1691,WIFI,130
1692,WING,130
1693,WIRE,78
1694,WIX,130
1695,WKHS,130
1696,WLDN,78
1697,WLTW,130
1698,WMGI,130
1699,WORX,26
1700,WPRT,130
1701,WRLD,104
1702,WRTC,130
1703,WSBC,130
1704,WSBF,130
1705,WSC,130
1706,WSFS,130
1707,WTFC,130
1708,WTRH,130
1709,WVE,130
1710,WW,130
1711,WWD,130
1712,WYNN,130
1713,XAIR,130
1714,XBIT,130
1715,XCUR,104
1716,XEL,130
1717,XELA,104
1718,XENT,130
1719,XERS,104
1720,XLNX,130
1721,XLRN,130
1722,XNCR,130
1723,XNET,130
1724,XOG,130
1725,XP,130
1726,XPEL,78
1727,XPER,130
1728,XRAY,130
1729,XSPA,130
1730,YGYI,52
1731,YLCO,26
1732,YMAB,78
1733,YNDX,130
1734,YRCW,130
1735,YY,130
1736,Z,130
1737,ZAGG,130
1738,ZBRA,130
1739,ZG,130
1740,ZGNX,130
1741,ZION,130
1742,ZIOP,130
1743,ZIV,130
1744,ZIXI,130
1745,ZLAB,130
1746,ZM,130
1747,ZN,130
1748,ZNGA,130
1749,ZS,130
1750,ZSAN,130
1751,ZUMZ,130
1752,ZYNE,130
1753,ZYXI,130
1754,ACHV,78
1755,AGNCN,78
1756,ALSK,78
1757,ALTM,104
1758,AMEH,52
1759,AMWD,104
1760,ANAT,78
1761,APOP,78
1762,ARGX,52
1763,BANF,104
1764,BBCP,52
1765,BBGI,104
1766,BDGE,52
1767,BIOL,78
1768,BLBD,104
1769,BOSC,26
1770,BSET,104
1771,BSJK,78
1772,BSJL,78
1773,CBIO,78
1774,CCNE,26
1775,CDTX,52
1776,CFA,104
1777,CHCO,78
1778,CKPT,78
1779,CLDX,78
1780,CLLS,52
1781,CMRX,104
1782,CRESY,78
1783,CRNT,104
1784,CRTX,78
1785,CSTR,26
1786,CTIC,26
1787,CXDC,104
1788,CYCN,78
1789,DAKT,104
1790,DGICA,26
1791,DLPN,26
1792,EFSC,52
1793,EH,26
1794,ELOX,52
1795,ESGR,52
1796,ESXB,26
1797,ETON,26
1798,FNX,52
1799,FPAY,78
1800,FRAN,104
1801,FSV,104
1802,GALT,52
1803,GMLP,104
1804,GTYH,26
1805,HEPA,78
1806,HLIO,78
1807,HOFT,104
1808,HROW,104
1809,HSKA,78
1810,ICLK,78
1811,INTL,78
1812,INWK,52
1813,JBSS,78
1814,KALU,104
1815,KOPN,104
1816,KZR,104
1817,LIQT,78
1818,LIVX,78
1819,LONE,52
1820,MBIO,78
1821,MCBC,52
1822,MDCA,104
1823,MESO,104
1824,MITO,52
1825,NCNA,26
1826,NESR,104
1827,NSSC,104
1828,NVMI,26
1829,ONCS,104
1830,ONEW,26
1831,OPRX,52
1832,OTIC,26
1833,OTTR,78
1834,PCOM,26
1835,PDFS,78
1836,PFIE,26
1837,PICO,78
1838,PLUS,26
1839,PPH,26
1840,PRPO,78
1841,RAVE,52
1842,RDI,52
1843,REFR,52
1844,SHSP,52
1845,SLCT,26
1846,SPT,104
1847,SURF,26
1848,SVRA,104
1849,SYBX,104
1850,TGA,52
1851,TMDX,104
1852,TUSK,104
1853,UHAL,78
1854,UIHC,104
1855,ULH,78
1856,USWS,52
1857,VTGN,26
1858,WABC,104
1859,WSG,52
1860,WTER,78
1861,XENE,104
1862,XONE,52
1863,YVR,52
1864,AEHR,26
1865,AHCO,26
1866,AQMS,26
1867,ARAV,26
1868,ASUR,52
1869,ATAX,52
1870,BCBP,26
1871,BIS,52
1872,BSCO,78
1873,BWB,52
1874,CASS,78
1875,CFO,26
1876,CLUB,78
1877,FTC,78
1878,HCM,78
1879,HDSN,78
1880,HOTH,26
1881,HTBI,78
1882,IMAB,26
1883,JFIN,26
1884,LFVN,52
1885,LQDA,26
1886,MSON,26
1887,OTLK,52
1888,PEIX,78
1889,PLIN,26
1890,PRSC,26
1891,PSCE,26
1892,PTMN,52
1893,PXI,26
1894,REKR,52
1895,RGP,78
1896,RVSB,52
1897,SAEX,26
1898,SLGG,78
1899,SNCA,52
1900,SPKE,78
1901,TESS,26
1902,UFCS,26
1903,UMRX,52
1904,VMD,78
1905,VOXX,78
1906,WWR,26
1907,XT,52
1908,YJ,52
1909,AEZS,52
1910,AKER,52
1911,ANIP,26
1912,ATOS,52
1913,BBSI,52
1914,CABA,26
1915,CLCT,26
1916,CSWI,52
1917,DEACW,52
1918,DGLY,52
1919,EDAP,26
1920,ESPO,52
1921,FAAR,26
1922,FEMS,26
1923,FENC,26
1924,FITBO,26
1925,FLIC,52
1926,HARP,52
1927,IGMS,26
1928,III,52
1929,IMMP,52
1930,INFI,26
1931,KRUS,52
1932,MACK,26
1933,MBWM,26
1934,MGIC,26
1935,MGTX,52
1936,MOTS,52
1937,MSEX,26
1938,NEOS,26
1939,NTWK,26
1940,NXTD,26
1941,OCSI,26
1942,OFS,26
1943,ONEQ,26
1944,OPRT,52
1945,PLSE,26
1946,PRTS,26
1947,PTH,26
1948,QADA,26
1949,QCRH,52
1950,RLMD,26
1951,RNET,26
1952,RWLK,26
1953,SECO,26
1954,SHLO,26
1955,SLS,26
1956,SONA,52
1957,SONN,52
1958,SSTI,26
1959,STKS,26
1960,TELA,26
1961,THFF,52
1962,UAE,26
1963,USAU,26
1964,VLGEA,52
1965,VRIG,26
1966,VRTS,26
1967,WTBA,26
1968,ZNTL,26
1969,AEY,26
1970,AIA,26
1971,ALRN,26
1972,BCML,26
1973,BLRX,26
1974,BMTC,26
1975,CCBG,26
1976,COMT,26
1977,CRNX,26
1978,CRVS,26
1979,DZSI,26
1980,EDNT,26
1981,EVSI,26
1982,FCNCA,26
1983,FCNCP,26
1984,FCVT,26
1985,FTXO,26
1986,GLPG,26
1987,GPP,26
1988,GSUM,26
1989,HBT,26
1990,HEWG,26
1991,HSDT,26
1992,IFV,26
1993,IMXI,26
1994,KE,26
1995,KIDS,26
1996,MARA,26
1997,MCBS,26
1998,MNTX,26
1999,MOHO,26
2000,MOR,26
2001,MTBC,26
2002,NMCI,26
2003,NYMX,26
2004,OYST,26
2005,PBBI,26
2006,PIO,26
2007,POAI,26
2008,QCLN,26
2009,RDVT,26
2010,SNSR,26
2011,TENX,26
2012,THTX,26
2013,TLGT,26
2014,WCLD,26
2015,XBIO,26
2016,XOMA,26
2017,ZEUS,26
